maybe, definitely_not, false_positive
1687 , 17072 , 1687
3 , 18756 , 3
60 , 18699 , 60
2 , 18650 , 0
20 , 18510 , 14
147 , 17925 , 139
28 , 18419 , 22
47 , 18228 , 43
136 , 17790 , 128
106 , 17262 , 96
206 , 18339 , 197
125 , 18426 , 115
33 , 18691 , 30
63 , 18610 , 58
269 , 17114 , 221
39 , 18722 , 37
37 , 18301 , 20
223 , 18508 , 217
1677 , 16734 , 1663
61 , 18569 , 43
32 , 18655 , 21
46 , 18320 , 29
106 , 18316 , 80
2246 , 16314 , 2231
28 , 18269 , 13
30 , 18708 , 23
108 , 18651 , 102
117 , 17360 , 109
1 , 18758 , 0
1 , 18758 , 0
1 , 18758 , 0
1 , 18758 , 0
1 , 18758 , 0
3 , 18756 , 2
19 , 19371 , 13
3 , 18715 , 1
2 , 18716 , 0
2 , 18716 , 0
2 , 18716 , 0
2 , 18757 , 1
1 , 18758 , 0
1 , 18758 , 0
18 , 19331 , 11
2984 , 15419 , 2974
216 , 17427 , 209
93 , 18600 , 91
34 , 18639 , 30
70 , 18319 , 54
130 , 19056 , 100
2114 , 16825 , 2095
2 , 18877 , 0
2 , 18877 , 0
2 , 18877 , 0
2 , 18877 , 0
2 , 18877 , 0
2 , 18877 , 0
3 , 18876 , 1
2 , 18877 , 0
4 , 18875 , 2
2 , 18877 , 0
2 , 18877 , 0
2 , 18877 , 0
28 , 18844 , 20
1 , 18758 , 0
5 , 18699 , 2
3 , 18756 , 2
236 , 18468 , 233
6 , 18713 , 3
6 , 18753 , 5
100 , 18553 , 97
1 , 18758 , 0
124 , 18489 , 119
4 , 18755 , 3
1 , 18758 , 0
2 , 18757 , 1
30 , 18689 , 27
3 , 18756 , 2
3 , 18650 , 0
6 , 18753 , 5
5 , 18608 , 0
101 , 18658 , 100
44 , 18572 , 29
1760 , 16621 , 1753
82 , 18491 , 78
2926 , 15793 , 2924
21 , 18565 , 19
92 , 18609 , 87
176 , 17807 , 169
198 , 18147 , 190
194 , 18185 , 179
271 , 18402 , 267
816 , 17302 , 812
28 , 18584 , 20
87 , 18468 , 78
64 , 18526 , 57
115 , 17917 , 105
178 , 17121 , 157
1189 , 17167 , 1163
2 , 18543 , 0
4 , 18520 , 0
2 , 18543 , 0
170 , 17983 , 151
3 , 18542 , 1
2 , 18543 , 0
77 , 18590 , 75
67 , 18337 , 51
196 , 18375 , 191
179 , 17703 , 160
42 , 18140 , 36
84 , 18317 , 67
34 , 18514 , 28
34 , 18495 , 30
166 , 18457 , 160
58 , 17852 , 19
156 , 18139 , 152
417 , 17709 , 409
184 , 17835 , 156
65 , 17804 , 63
51 , 18647 , 48
64 , 17339 , 51
2 , 18725 , 0
97 , 18630 , 95
2 , 18725 , 0
2 , 18725 , 0
2 , 18725 , 0
2 , 18725 , 0
2 , 18725 , 0
2 , 18725 , 0
2 , 18725 , 0
2 , 18725 , 0
2 , 18725 , 0
2 , 18725 , 0
2 , 18725 , 0
2 , 18725 , 0
2 , 18725 , 0
2 , 18725 , 0
2 , 18725 , 0
