maybe, definitely_not, false_positive
14 , 59299 , 0
34 , 58420 , 0
17 , 59350 , 2
30 , 58721 , 0
15 , 59200 , 0
43 , 58011 , 0
18 , 59305 , 0
33 , 58747 , 0
36 , 58447 , 1
25 , 58880 , 0
35 , 58506 , 1
3 , 59733 , 0
4 , 59732 , 1
3 , 59733 , 0
4 , 59732 , 0
14 , 59342 , 3
21 , 59156 , 0
8 , 59582 , 0
7 , 59462 , 0
18 , 59014 , 2
4 , 59662 , 0
8 , 59518 , 0
4 , 59662 , 0
16 , 59268 , 2
7 , 59554 , 0
7 , 59639 , 0
3 , 59843 , 0
3 , 59843 , 0
12 , 59351 , 0
13 , 59582 , 1
4 , 59784 , 0
11 , 59584 , 0
3 , 59733 , 0
4 , 59732 , 1
18 , 58943 , 1
7 , 59636 , 0
8 , 59635 , 0
3 , 59843 , 0
4 , 59692 , 0
5 , 59691 , 1
23 , 59045 , 1
25 , 58760 , 0
8 , 59580 , 0
4 , 59784 , 0
16 , 58995 , 0
2 , 59738 , 0
2 , 59738 , 0
4 , 59723 , 0
4 , 59723 , 0
4 , 59723 , 0
4 , 59723 , 0
3 , 59654 , 0
3 , 59654 , 0
3 , 59649 , 0
3 , 59649 , 0
3 , 59649 , 0
4 , 59648 , 1
4 , 59784 , 0
16 , 59199 , 0
4 , 59784 , 0
4 , 59784 , 0
4 , 59784 , 0
47 , 57828 , 0
29 , 58655 , 0
25 , 58951 , 1
117 , 55127 , 2
166 , 54784 , 0
68 , 57029 , 1
44 , 57808 , 1
16 , 59150 , 0
18 , 58943 , 0
22 , 58863 , 0
22 , 58973 , 3
47 , 57940 , 0
3 , 59707 , 0
20 , 58995 , 0
57 , 57925 , 2
23 , 58847 , 0
14 , 59275 , 1
10 , 59504 , 0
43 , 58057 , 0
23 , 59006 , 0
3 , 59643 , 0
6 , 60123 , 0
13 , 59399 , 0
7 , 59573 , 1
2 , 59990 , 0
3 , 59498 , 1
14 , 59700 , 0
3 , 60077 , 0
6 , 59141 , 0
5 , 59369 , 1
7 , 59519 , 1
6 , 59731 , 0
4 , 59747 , 0
8 , 59315 , 1
4 , 59460 , 0
4 , 59551 , 0
5 , 59746 , 0
2 , 60050 , 0
2 , 59990 , 0
3 , 59916 , 1
2 , 60050 , 0
8 , 60276 , 0
5 , 60138 , 0
3 , 60031 , 0
3 , 60031 , 0
5 , 60170 , 0
6 , 60169 , 0
11 , 59954 , 0
3 , 60031 , 0
8 , 60126 , 0
3 , 59563 , 0
5 , 60170 , 0
5 , 60156 , 0
4 , 59562 , 1
24 , 60213 , 0
24 , 60066 , 0
4 , 59936 , 0
2 , 60006 , 0
5 , 59935 , 1
2 , 60032 , 0
4 , 59451 , 0
4 , 59370 , 0
4 , 59451 , 0
4 , 59451 , 0
4 , 59451 , 0
6 , 59600 , 0
4 , 59779 , 0
12 , 59224 , 0
4 , 59698 , 0
2 , 59739 , 0
14 , 59333 , 0
5 , 59954 , 1
8 , 59922 , 0
10 , 59456 , 0
6 , 59715 , 0
6 , 59811 , 0
6 , 59820 , 0
13 , 59534 , 0
4 , 59779 , 0
5 , 59787 , 1
6 , 59771 , 0
4 , 59637 , 0
6 , 59795 , 0
2 , 59737 , 0
6 , 59698 , 0
5 , 59602 , 1
6 , 59820 , 0
6 , 59820 , 0
8 , 59818 , 2
8 , 59818 , 2
14 , 59639 , 0
3 , 59830 , 1
16 , 59257 , 0
4 , 59897 , 0
4 , 59934 , 0
3 , 59736 , 1
59 , 58671 , 0
34 , 58712 , 0
8 , 59347 , 0
5 , 59807 , 1
