maybe, definitely_not, false_positive
14 , 60017 , 0
59 , 59136 , 53
9 , 58793 , 0
17 , 59392 , 6
11 , 59180 , 0
11 , 59417 , 1
14 , 59724 , 0
22 , 58428 , 0
6 , 59451 , 0
171 , 54285 , 3
106 , 61257 , 81
4 , 59543 , 1
71 , 56737 , 37
71 , 59456 , 5
9 , 59786 , 1
212 , 59455 , 201
18 , 59683 , 14
3 , 59968 , 0
66 , 55146 , 0
6 , 59265 , 0
4 , 59622 , 0
12 , 59113 , 3
41 , 59751 , 38
71 , 62631 , 6
29 , 57572 , 1
9 , 59826 , 4
10 , 59575 , 3
12 , 59794 , 5
5 , 60071 , 0
8 , 60609 , 1
18 , 59078 , 3
18 , 59493 , 3
265 , 53819 , 135
21 , 58280 , 1
74 , 61141 , 0
5 , 59689 , 0
19 , 58613 , 3
12 , 59920 , 1
3 , 59763 , 1
6 , 11807 , 0
17 , 58476 , 0
10 , 60915 , 0
6 , 59627 , 1
15 , 58575 , 0
3 , 59569 , 0
3 , 59691 , 0
37 , 58925 , 10
148 , 59609 , 140
27 , 59841 , 1
7 , 59935 , 1
5 , 59670 , 1
269 , 59226 , 264
1 , 59884 , 0
5 , 59689 , 0
5 , 59727 , 0
8 , 59699 , 3
9 , 60465 , 1
49 , 57378 , 4
6 , 60005 , 1
431 , 69559 , 9
12 , 59532 , 1
7 , 61574 , 0
27 , 59395 , 0
192 , 53589 , 5
9 , 59511 , 6
6 , 59571 , 2
2 , 59678 , 0
105 , 54932 , 1
10 , 60347 , 0
52 , 57188 , 0
13 , 55416 , 0
80 , 58102 , 0
6 , 59506 , 0
5 , 58924 , 0
138 , 60277 , 120
9 , 60614 , 1
15 , 60114 , 0
3 , 59735 , 0
30 , 59073 , 0
3 , 60008 , 0
6 , 59862 , 0
2 , 59716 , 0
2 , 59575 , 0
38 , 60457 , 1
24 , 59633 , 1
11 , 60388 , 1
3 , 59611 , 1
62 , 59121 , 8
23 , 59605 , 20
21 , 58430 , 6
4 , 60259 , 0
28 , 59818 , 9
266 , 59808 , 263
109 , 51665 , 0
19 , 59742 , 13
173 , 60012 , 43
2 , 60009 , 0
7 , 59078 , 1
4 , 59654 , 2
29 , 52829 , 4
3 , 59757 , 0
124 , 55954 , 1
10 , 58689 , 0
2 , 60009 , 0
26 , 55086 , 2
23 , 57930 , 0
2 , 59502 , 0
4 , 59568 , 1
33 , 60322 , 19
9 , 58684 , 0
4 , 59380 , 0
25 , 56984 , 0
5 , 59836 , 1
3 , 59578 , 0
2 , 60009 , 0
42 , 57222 , 0
18 , 59649 , 15
19 , 59654 , 14
50 , 59790 , 4
11 , 59063 , 1
2 , 59748 , 0
159 , 59981 , 2
0 , 60067 , 0
108 , 55524 , 7
91 , 60988 , 5
1 , 59898 , 1
53 , 57228 , 0
7 , 59247 , 1
13 , 62019 , 0
19 , 59882 , 5
61 , 56997 , 1
38 , 69130 , 0
11 , 59836 , 0
16 , 59335 , 0
23 , 59403 , 20
5 , 59912 , 2
28 , 66887 , 1
181 , 56716 , 32
5 , 58785 , 1
29 , 60694 , 0
15 , 60248 , 5
312 , 51440 , 49
185 , 53834 , 43
29 , 60870 , 5
32 , 56949 , 0
2 , 60022 , 0
13 , 58637 , 2
4 , 60016 , 0
7 , 59480 , 2
0 , 60067 , 0
41 , 58944 , 22
12 , 60669 , 2
30 , 58617 , 2
10 , 59473 , 0
6 , 59526 , 0
5 , 59871 , 0
17 , 59925 , 1
109 , 52743 , 9
1 , 60066 , 0
3 , 59738 , 0
22 , 58863 , 0
10 , 59516 , 0
25 , 64319 , 3
4 , 59820 , 0
9 , 61347 , 1
2 , 59579 , 0
14 , 61644 , 1
27 , 58693 , 0
4 , 59905 , 0
22 , 57749 , 2
29 , 58054 , 2
5 , 59580 , 1
28 , 60219 , 0
4 , 48061 , 0
13 , 60044 , 1
28 , 58007 , 7
12 , 62483 , 0
29 , 59266 , 1
8 , 60117 , 0
50 , 60073 , 0
3 , 59694 , 0
12 , 59116 , 0
5 , 59634 , 0
50 , 61622 , 10
10 , 59502 , 2
44 , 58478 , 2
8 , 59314 , 0
3 , 59746 , 0
5 , 59581 , 0
111 , 62997 , 0
48 , 73564 , 1
33 , 60448 , 1
3 , 59748 , 0
71 , 66480 , 3
186 , 57138 , 35
148 , 61052 , 133
5 , 59640 , 2
8 , 59758 , 4
10 , 59530 , 0
74 , 59443 , 63
5 , 60989 , 0
60 , 55653 , 0
16 , 59175 , 1
6 , 59366 , 3
7 , 59636 , 1
124 , 55716 , 6
5 , 59966 , 2
18 , 59061 , 3
47 , 56429 , 4
6 , 59780 , 0
7 , 59769 , 2
54 , 58600 , 11
11 , 59476 , 6
336 , 54574 , 41
18 , 59530 , 6
23 , 60114 , 2
6 , 59314 , 0
35 , 58158 , 1
2 , 59764 , 0
11 , 59810 , 0
139 , 57997 , 6
3 , 59702 , 0
348 , 66330 , 59
40 , 57752 , 0
28 , 59479 , 3
64 , 58025 , 1
2 , 59597 , 0
45 , 58155 , 7
30 , 57915 , 6
13 , 60481 , 1
4 , 59861 , 2
557 , 43982 , 5
6 , 60363 , 0
38 , 55048 , 1
27 , 59454 , 20
129 , 73531 , 0
433 , 54712 , 46
3 , 59661 , 0
37 , 43519 , 0
9 , 59654 , 1
177 , 57250 , 3
8 , 58934 , 0
6 , 60107 , 2
87 , 56527 , 41
4 , 59568 , 0
10 , 59750 , 4
14 , 58901 , 1
